Loan_id,as_of_year,occupancy,loan_amt_thousands,county_code,applicant_income_thousands,population,ffiec_median_fam_income,tract_to_msa_income_pct,num_owner_occupied_units,num_1_to_4_family_units,approved,agency_code_Consumer_Financial_Protection_Bureau__CFPB_,agency_code_Department_of_Housing_and_Urban_Development__HUD_,agency_code_Federal_Deposit_Insurance_Corporation__FDIC_,agency_code_Federal_Reserve_System__FRS_,agency_code_National_Credit_Union_Administration__NCUA_,agency_code_Office_of_the_Comptroller_of_the_Currency__OCC_,loan_type_Conventional__any_loan_other_than_FHA__VA__FSA__or_RHS_loans_,loan_type_FHA_insured__Federal_Housing_Administration_,loan_type_FSA_RHS__Farm_Service_Agency_or_Rural_Housing_Service_,loan_type_VA_guaranteed__Veterans_Administration_,property_type_Manufactured_housing,property_type_One_to_four_family__other_than_manufactured_housing_,loan_purpose_Home_improvement,loan_purpose_Home_purchase,loan_purpose_Refinancing,preapproval_Not_applicable,preapproval_Preapproval_was_not_requested,preapproval_Preapproval_was_requested,purchaser_type_Affiliate_institution,purchaser_type_Commercial_bank__savings_bank_or_savings_association,purchaser_type_Fannie_Mae__FNMA_,purchaser_type_Farmer_Mac__FAMC_,purchaser_type_Freddie_Mac__FHLMC_,purchaser_type_Ginnie_Mae__GNMA_,purchaser_type_Life_insurance_company__credit_union__mortgage_bank__or_finance_company,purchaser_type_Loan_was_not_originated_or_was_not_sold_in_calendar_year_covered_by_register,purchaser_type_Other_type_of_purchaser,purchaser_type_Private_securitization,hoepa_status_HOEPA_loan,hoepa_status_Not_a_HOEPA_loan,lien_status_Not_applicable__purchased_loans_,lien_status_Not_secured_by_a_lien,lien_status_Secured_by_a_first_lien,lien_status_Secured_by_a_subordinate_lien
1001,2016,1,147,91,100,7425,59400,86.84,1790,2474,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1002,2016,1,155,69,37,3201,59400,84.97,1035,1294,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1003,2016,1,17,69,88,3201,59400,84.97,1035,1294,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1004,2016,1,149,69,80,3201,59400,84.97,1035,1294,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1005,2016,1,92,69,30,3201,59400,84.97,1035,1294,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1006,2016,2,120,69,116,3201,59400,84.97,1035,1294,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1007,2016,1,155,69,1,3201,59400,84.97,1035,1294,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1008,2016,1,176,69,71,3201,59400,84.97,1035,1294,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1009,2016,1,86,69,54,4867,59400,108.62,1351,1938,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1010,2016,1,132,69,40,4867,59400,108.62,1351,1938,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
